Sample in Buffer,Sample in Window,TRIGGER,u_led_twinkle/led,u_led_twinkle/cnt[25:0]
576,576,0,1,28938730
577,577,0,1,28938731
578,578,0,1,28938732
579,579,0,1,28938733
580,580,0,1,28938734
581,581,0,1,28938735
582,582,0,1,28938736
583,583,0,1,28938737
584,584,0,1,28938738
585,585,0,1,28938739
586,586,0,1,28938740
587,587,0,1,28938741
588,588,0,1,28938742
589,589,0,1,28938743
590,590,0,1,28938744
591,591,0,1,28938745
592,592,0,1,28938746
593,593,0,1,28938747
594,594,0,1,28938748
595,595,0,1,28938749
596,596,0,1,28938750
597,597,0,1,28938751
598,598,0,1,28938752
599,599,0,1,28938753
600,600,0,1,28938754
601,601,0,1,28938755
602,602,0,1,28938756
603,603,0,1,28938757
604,604,0,1,28938758
605,605,0,1,28938759
606,606,0,1,28938760
607,607,0,1,28938761
608,608,0,1,28938762
609,609,0,1,28938763
610,610,0,1,28938764
611,611,0,1,28938765
612,612,0,1,28938766
613,613,0,1,28938767
614,614,0,1,28938768
615,615,0,1,28938769
616,616,0,1,28938770
617,617,0,1,28938771
618,618,0,1,28938772
619,619,0,1,28938773
620,620,0,1,28938774
621,621,0,1,28938775
622,622,0,1,28938776
623,623,0,1,28938777
624,624,0,1,28938778
625,625,0,1,28938779
626,626,0,1,28938780
627,627,0,1,28938781
628,628,0,1,28938782
629,629,0,1,28938783
630,630,0,1,28938784
631,631,0,1,28938785
632,632,0,1,28938786
633,633,0,1,28938787
634,634,0,1,28938788
635,635,0,1,28938789
636,636,0,1,28938790
637,637,0,1,28938791
638,638,0,1,28938792
639,639,0,1,28938793
640,640,0,1,28938794
641,641,0,1,28938795
642,642,0,1,28938796
643,643,0,1,28938797
644,644,0,1,28938798
645,645,0,1,28938799
646,646,0,1,28938800
647,647,0,1,28938801
648,648,0,1,28938802
649,649,0,1,28938803
650,650,0,1,28938804
651,651,0,1,28938805
652,652,0,1,28938806
653,653,0,1,28938807
654,654,0,1,28938808
655,655,0,1,28938809
656,656,0,1,28938810
657,657,0,1,28938811
658,658,0,1,28938812
659,659,0,1,28938813
660,660,0,1,28938814
661,661,0,1,28938815
662,662,0,1,28938816
663,663,0,1,28938817
664,664,0,1,28938818
665,665,0,1,28938819
666,666,0,1,28938820
667,667,0,1,28938821
668,668,0,1,28938822
669,669,0,1,28938823
670,670,0,1,28938824
671,671,0,1,28938825
672,672,0,1,28938826
673,673,0,1,28938827
674,674,0,1,28938828
675,675,0,1,28938829
676,676,0,1,28938830
677,677,0,1,28938831
678,678,0,1,28938832
679,679,0,1,28938833
680,680,0,1,28938834
681,681,0,1,28938835
682,682,0,1,28938836
683,683,0,1,28938837
684,684,0,1,28938838
685,685,0,1,28938839
686,686,0,1,28938840
687,687,0,1,28938841
688,688,0,1,28938842
689,689,0,1,28938843
690,690,0,1,28938844
691,691,0,1,28938845
692,692,0,1,28938846
693,693,0,1,28938847
694,694,0,1,28938848
695,695,0,1,28938849
696,696,0,1,28938850
697,697,0,1,28938851
698,698,0,1,28938852
699,699,0,1,28938853
700,700,0,1,28938854
701,701,0,1,28938855
702,702,0,1,28938856
703,703,0,1,28938857
704,704,0,1,28938858
705,705,0,1,28938859
706,706,0,1,28938860
707,707,0,1,28938861
708,708,0,1,28938862
709,709,0,1,28938863
710,710,0,1,28938864
711,711,0,1,28938865
712,712,0,1,28938866
713,713,0,1,28938867
714,714,0,1,28938868
715,715,0,1,28938869
716,716,0,1,28938870
717,717,0,1,28938871
718,718,0,1,28938872
719,719,0,1,28938873
720,720,0,1,28938874
721,721,0,1,28938875
722,722,0,1,28938876
723,723,0,1,28938877
724,724,0,1,28938878
725,725,0,1,28938879
726,726,0,1,28938880
727,727,0,1,28938881
728,728,0,1,28938882
729,729,0,1,28938883
730,730,0,1,28938884
731,731,0,1,28938885
732,732,0,1,28938886
733,733,0,1,28938887
734,734,0,1,28938888
735,735,0,1,28938889
736,736,0,1,28938890
737,737,0,1,28938891
738,738,0,1,28938892
739,739,0,1,28938893
740,740,0,1,28938894
741,741,0,1,28938895
742,742,0,1,28938896
743,743,0,1,28938897
744,744,0,1,28938898
745,745,0,1,28938899
746,746,0,1,28938900
747,747,0,1,28938901
748,748,0,1,28938902
749,749,0,1,28938903
750,750,0,1,28938904
751,751,0,1,28938905
752,752,0,1,28938906
753,753,0,1,28938907
754,754,0,1,28938908
755,755,0,1,28938909
756,756,0,1,28938910
757,757,0,1,28938911
758,758,0,1,28938912
759,759,0,1,28938913
760,760,0,1,28938914
761,761,0,1,28938915
762,762,0,1,28938916
763,763,0,1,28938917
764,764,0,1,28938918
765,765,0,1,28938919
766,766,0,1,28938920
767,767,0,1,28938921
768,768,0,1,28938922
769,769,0,1,28938923
770,770,0,1,28938924
771,771,0,1,28938925
772,772,0,1,28938926
773,773,0,1,28938927
774,774,0,1,28938928
775,775,0,1,28938929
776,776,0,1,28938930
777,777,0,1,28938931
778,778,0,1,28938932
779,779,0,1,28938933
780,780,0,1,28938934
781,781,0,1,28938935
782,782,0,1,28938936
783,783,0,1,28938937
784,784,0,1,28938938
785,785,0,1,28938939
786,786,0,1,28938940
787,787,0,1,28938941
788,788,0,1,28938942
789,789,0,1,28938943
790,790,0,1,28938944
791,791,0,1,28938945
792,792,0,1,28938946
793,793,0,1,28938947
794,794,0,1,28938948
795,795,0,1,28938949
796,796,0,1,28938950
797,797,0,1,28938951
798,798,0,1,28938952
799,799,0,1,28938953
800,800,0,1,28938954
801,801,0,1,28938955
802,802,0,1,28938956
803,803,0,1,28938957
804,804,0,1,28938958
805,805,0,1,28938959
806,806,0,1,28938960
807,807,0,1,28938961
808,808,0,1,28938962
809,809,0,1,28938963
810,810,0,1,28938964
811,811,0,1,28938965
812,812,0,1,28938966
813,813,0,1,28938967
814,814,0,1,28938968
815,815,0,1,28938969
816,816,0,1,28938970
817,817,0,1,28938971
818,818,0,1,28938972
819,819,0,1,28938973
820,820,0,1,28938974
821,821,0,1,28938975
822,822,0,1,28938976
823,823,0,1,28938977
824,824,0,1,28938978
825,825,0,1,28938979
826,826,0,1,28938980
827,827,0,1,28938981
828,828,0,1,28938982
829,829,0,1,28938983
830,830,0,1,28938984
831,831,0,1,28938985
832,832,0,1,28938986
833,833,0,1,28938987
834,834,0,1,28938988
835,835,0,1,28938989
836,836,0,1,28938990
837,837,0,1,28938991
838,838,0,1,28938992
839,839,0,1,28938993
840,840,0,1,28938994
841,841,0,1,28938995
842,842,0,1,28938996
843,843,0,1,28938997
844,844,0,1,28938998
845,845,0,1,28938999
846,846,0,1,28939000
847,847,0,1,28939001
848,848,0,1,28939002
849,849,0,1,28939003
850,850,0,1,28939004
851,851,0,1,28939005
852,852,0,1,28939006
853,853,0,1,28939007
854,854,0,1,28939008
855,855,0,1,28939009
856,856,0,1,28939010
857,857,0,1,28939011
858,858,0,1,28939012
859,859,0,1,28939013
860,860,0,1,28939014
861,861,0,1,28939015
862,862,0,1,28939016
863,863,0,1,28939017
864,864,0,1,28939018
865,865,0,1,28939019
866,866,0,1,28939020
867,867,0,1,28939021
868,868,0,1,28939022
869,869,0,1,28939023
870,870,0,1,28939024
871,871,0,1,28939025
872,872,0,1,28939026
873,873,0,1,28939027
874,874,0,1,28939028
875,875,0,1,28939029
876,876,0,1,28939030
877,877,0,1,28939031
878,878,0,1,28939032
879,879,0,1,28939033
880,880,0,1,28939034
881,881,0,1,28939035
882,882,0,1,28939036
883,883,0,1,28939037
884,884,0,1,28939038
885,885,0,1,28939039
886,886,0,1,28939040
887,887,0,1,28939041
888,888,0,1,28939042
889,889,0,1,28939043
890,890,0,1,28939044
891,891,0,1,28939045
892,892,0,1,28939046
893,893,0,1,28939047
894,894,0,1,28939048
895,895,0,1,28939049
896,896,0,1,28939050
897,897,0,1,28939051
898,898,0,1,28939052
899,899,0,1,28939053
900,900,0,1,28939054
901,901,0,1,28939055
902,902,0,1,28939056
903,903,0,1,28939057
904,904,0,1,28939058
905,905,0,1,28939059
906,906,0,1,28939060
907,907,0,1,28939061
908,908,0,1,28939062
909,909,0,1,28939063
910,910,0,1,28939064
911,911,0,1,28939065
912,912,0,1,28939066
913,913,0,1,28939067
914,914,0,1,28939068
915,915,0,1,28939069
